OID_,X,Y,Name,Address,Postal_Code,City,Province,Category,Activity,Outdoor
122,-79.12151917,43.21889542,Niagara Credit Union Arena,1565 Four Mile Creek Road,L0S 1T0,Niagara-on-the-lake,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
123,-79.12277563,43.06697598,Niagara Golf Liquidators,7555 Montrose Rd,L2H 2E9,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
124,-79.14889757,43.08384159,Niagara Falls Golf Club,6169 Garner Rd,L2E 6S4,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
125,-79.06827331,43.25338432,Niagara Golf Tours International,92 Picton,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
126,-79.25040603,43.18477555,Niagara Golf Trail,36 Secord Drive,L2N 1K8,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
127,-79.24389513,43.1754128,Niagara Golf Warehouse,10 Dunlop Dr,L2R 1S1,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
128,-79.240536,43.15928555,Niagara Golf Vacation Packages,11 Bond St Suite 202,L2R 4Z4,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
129,-79.07345676,43.2594257,Niagara-on-the-lake Golf Club,143 Front St,,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
130,-79.34078718,43.05594312,North Pelham Park,1782 Cream St,L0S 1M0,Ridgeville,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
131,-79.07311085,43.06642342,Oak Hall Par 3 Golf Course,7516 Portage Rd,,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
132,-79.08807842,43.10432273,Oakes Park,5700 Morrison St,L2E 2E9,Niagara Falls,ON,Sports stadiums and other presenters with facilities,"Baseball,Soccer",Yes
133,-79.25501161,42.97454274,Ontario Road Dog Park,2 Ontario Rd,L3B 5C1,Welland,ON,Nature parks and other similar institutions,,
134,-79.07489677,43.07244032,"Niagara Parks Commission, The",6345 Niagara Pkwy,,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
135,-79.4896211,43.17024669,Otda Fundraiser And Golf Classic,5249 Regional Rd 81,L0R 1B0,Beamsville,ON,Golf courses and country clubs,Golf,Yes
136,-79.26438352,43.1696675,Parkway Lanes,325 Ontario Street,L2R 5L3,St. Catharines,ON,Bowling centres,Bowling,
137,-79.25486813,42.89163273,Pc Lions Field,120 Killaly St West,,Port Colborne,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
138,-79.08309394,43.04623614,Oaklands Golf Course,8970 Stanley Ave S,L2E 6T8,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
139,-79.10455094,43.24816746,Peach Trees Executive Golf Course,221 Niven Rd,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
140,-79.29487764,43.02652002,Pelham Arena,1120 Haist St,L0S 1E2,Fonthill,ON,Fitness and recreational sports centres,,
141,-79.30005198,42.98795623,Pelham Hills,196 Webber Rd,L3B 5N8,Welland,ON,Golf courses and country clubs,Golf,Yes
142,-79.2983397,42.98801251,Pelham Hills Golf And Country Club,206 Webber Road,L3B 5N8,Pelham,ON,Golf courses and country clubs,Golf,Yes
143,-79.33888902,43.0431246,Peninsula Lakes Golf Club,569 Hwy 20,L0S 1C0,Pelham,ON,Golf courses and country clubs,Golf,Yes
144,-79.01714941,43.03928655,Niagara Parks Legends,9561 Niagara River Pky,L2E 6S6,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
145,-79.24615263,42.97876316,Plymouth Park,200 Plymouth Rd,L3B 3C4,Welland,ON,Nature parks and other similar institutions,Baseball,Yes
146,-79.33585691,42.88265042,Port Colborne Country Club,11260 Golf Course Rd,L3K 3M6,Wainfleet,ON,Golf courses and country clubs,Golf,Yes
147,-79.19988763,43.17829806,Premier Golf Supply Inc,7-165 Cushman Rd,L2M 6T4,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
148,-79.26155954,42.99182727,Prince Charles Park,6 Colbeck Drive,L3C 5B4,Welland,ON,Nature parks and other similar institutions,Basketball,Yes
149,-79.10117896,43.1380699,Piccolo's Custom Golf Shop,2334 St Paul Ave,L2E 6S4,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
150,-79.07907003,43.09413,Preakness Park Rink,Preakness St,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
151,-79.11238257,43.1266929,Prince Philip School,3112 Dorchester Rd,L2J 2Z7,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
152,-79.25315687,43.01291709,Pro Golf Clean,55 Woodlawn Rd,L3C 3J4,Welland,ON,Golf courses and country clubs,Golf,Yes
153,-79.25147237,43.18040191,Pro Golf Of St Catherines,272 Lake St,L2N 4H1,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
154,-79.26671595,43.17776182,Putters Golf,389 Ontario Street,L2R 5L3,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
155,-79.11712916,43.08915253,Puttputt Golf & Games,7280 Lundy's Lane,L2G 1W2,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
156,-79.2409965,43.0222147,Quaker Road Park,12 Quaker Rd,L3C 3G3,Welland,ON,Nature parks and other similar institutions,Field,Yes
157,-79.04740588,42.87582835,Ridgeway Shores Golf Club,3570 Thunder Bay Rd,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,Golf,Yes
158,-79.08256253,43.15994168,Queenston Golf Club,269 Progressive Ave,L3C 4V9,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
159,-79.28230104,43.15512959,Ridley Golf & Driving Range,1233 Fourth Ave,L2R 6P9,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
160,-79.58630493,43.19996502,Roberts Road Field,Oriole Crescent,L3M 3X6,Grimsby,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
161,-79.3835907,42.98744355,Riverview Golf Course,313 Victoria Road,L0S 1C0,Pelham,ON,Golf courses and country clubs,Golf,Yes
162,-79.25497894,42.9942025,Riverbank Park,59 Riverbank St,L3C 7J4,Welland,ON,Nature parks and other similar institutions,,
163,-79.2401154,43.00072031,River Road Park,309 River Rd,L3C 6N6,Welland,ON,Nature parks and other similar institutions,,
164,-79.12260568,42.99551838,Rolling Meadows/Rolling Meadows Golf & Country Club,,,,,,,
,ON,Golf courses and country clubs,Golf,Yes,,,,,,
165,-79.3165409,43.12534552,Rockway Glen Golf Course/Rockway Glen Ltd,,,,,,,
,ON,Golf courses and country clubs,Golf,Yes,,,,,,
166,-79.36961932,43.09819254,Sawmill Golf Course,856 Sawmill Road,L0S 1C0,Pelham,ON,Golf courses and country clubs,Golf,Yes
167,-79.12329725,43.0864206,Serbian Field,6085 Montrose Rd,L2H 1L4,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
168,-79.726146,43.14234283,Scenic Woods Golf & Country Club,185 Golf Club Rd,L0R 1C0,Binbrook,ON,Golf courses and country clubs,Golf,Yes
169,-79.26310134,43.00894438,Sherwood Forest Park,115 Rolling Acres Drive,L3C 3N3,Welland,ON,Nature parks and other similar institutions,Basketball,Yes
170,-79.11551002,43.11251747,Sherkwood Golf School Ltd,7115 Briarwood Ave,L2E 6X9,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
171,-79.17019365,43.14931663,Royal Niagara Golf Club,1 Niagara-on-the-green Blvd,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
172,-79.25481248,42.90511,Simmons Kids Charity Golf Tournament,947 Elm St,L3K 4R8,Port Colborne,ON,Golf courses and country clubs,Golf,Yes
173,-79.25311078,42.98356256,Skate Park,145 Lincoln St,L3B 6E1,Welland,ON,Nature parks and other similar institutions,,
174,-79.26099769,43.14474885,Seymour-hannah Sports & Entertainment Center,240 St Paul St W,L2S 2E3,St. Catharines,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
175,-79.81523141,43.09543727,Southbrook Golf & Country Club,4349 Hwy 56,L0R 1C0,Binbrook,ON,Golf courses and country clubs,Golf,Yes
176,-79.61494681,43.20567691,Smith Fields,10 Oakes Rd N,L3M 4A9,Grimsby,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
177,-79.57050536,43.09282993,Smithville Leisureplex,2543 South Grimsby Rd 6,L0R 2A0,Smithville,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
178,-79.28550751,42.97824001,Sparrow Lakes Golf Course,105 S Pelham Rd,L3B 5N8,Welland,ON,Golf courses and country clubs,Golf,Yes
179,-79.04992063,42.90364752,Specialty Golf Learning Ctr,3570 Garrison Rd,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,Golf,Yes
180,-79.10151987,43.15682349,St. David's Golf Club,22 Paxton Lane,L0S 1J1,Niagara-on-the-lake,ON,Golf courses and country clubs,Golf,Yes
181,-79.21968962,43.15410658,St Catharines Garden City Golf,37 Lincoln Avenue,L2P 2C7,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
182,-79.24999163,43.15856383,St. Catharines Disc Golf,73 Queen St,L2R 5G9,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
183,-79.27309969,42.96965249,St. George Park,391 St. George St,L3C 5N1,Welland,ON,Nature parks and other similar institutions,,
